params,mean_mse,mse,r2,accuracy,fit_time,mean_abs_mse,mean_rmse,rmse,accuracy,r2,fit_time
"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 400}",-62.99389709,55.82917605,0.931529459,76.47619048,254.6889927,62.99389709,7.9369,7.4719,76.48%,0.9315,254.69
"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 300}",-63.01328576,55.57683462,0.931838938,76.23809524,190.9689898,63.01328576,7.9381,7.455,76.24%,0.9318,190.97
"{'criterion': 'friedman_mse', 'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 300}",-63.03725762,56.03821963,0.931273082,76.66666667,190.9165657,63.03725762,7.9396,7.4859,76.67%,0.9313,190.92
"{'criterion': 'friedman_mse', 'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 200}",-63.07315753,55.90696057,0.931434062,76.66666667,127.357039,63.07315753,7.9419,7.4771,76.67%,0.9314,127.36
"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 100}",-63.11019065,55.3110414,0.932164914,76.61904762,63.60627723,63.11019065,7.9442,7.4371,76.62%,0.9322,63.61
"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 200}",-63.13088938,55.5934264,0.931818589,76.38095238,127.2236366,63.13088938,7.9455,7.4561,76.38%,0.9318,127.22
"{'criterion': 'friedman_mse', 'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 100}",-63.16198523,55.67832243,0.93171447,76.71428571,63.56926346,63.16198523,7.9475,7.4618,76.71%,0.9317,63.57
"{'criterion': 'friedman_mse', 'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",-64.33209205,57.96979225,0.928904144,69.71428571,40.30662632,64.33209205,8.0207,7.6138,69.71%,0.9289,40.31
"{'criterion': 'squared_error', 'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",-64.39659846,55.52068803,0.931907798,69.71428571,40.49597001,64.39659846,8.0247,7.4512,69.71%,0.9319,40.5
"{'criterion': 'friedman_mse', 'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 400}",-64.48985179,56.65456938,0.930517172,69.57142857,161.9791887,64.48985179,8.0306,7.5269,69.57%,0.9305,161.98
"{'criterion': 'friedman_mse', 'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 500}",-64.5391025,56.66709013,0.930501816,69.57142857,204.4738352,64.5391025,8.0336,7.5278,69.57%,0.9305,204.47
"{'criterion': 'friedman_mse', 'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}",-64.61926662,56.88242173,0.930237727,69.57142857,121.6971705,64.61926662,8.0386,7.542,69.57%,0.9302,121.7
"{'criterion': 'squared_error', 'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 500}",-64.65406851,55.67749741,0.931715482,69.61904762,202.1550286,64.65406851,8.0408,7.4617,69.62%,0.9317,202.16
"{'criterion': 'squared_error', 'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}",-64.72318515,56.03455165,0.93127758,69.38095238,121.2883039,64.72318515,8.0451,7.4856,69.38%,0.9313,121.29
"{'criterion': 'squared_error', 'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 400}",-64.74416422,55.61940147,0.931786732,69.28571429,161.6578126,64.74416422,8.0464,7.4578,69.29%,0.9318,161.66
"{'criterion': 'squared_error', 'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",-64.84815795,55.84862464,0.931505606,69.61904762,80.9081676,64.84815795,8.0528,7.4732,69.62%,0.9315,80.91
"{'criterion': 'friedman_mse', 'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",-64.90406111,57.63820429,0.929310813,69.80952381,80.5611732,64.90406111,8.0563,7.592,69.81%,0.9293,80.56
"{'criterion': 'squared_error', 'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",-65.70855099,58.24160084,0.92857079,68.80952381,38.90108085,65.70855099,8.1061,7.6316,68.81%,0.9286,38.9
