params,mean_mse,mse,r2,accuracy,fit_time,mean_abs_mse,mean_rmse,rmse,accuracy,r2
"{'criterion': 'friedman_mse', 'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",-60.78628884,60.05687712,0.925414865,78.51869493,89.77464771,60.78628884,7.7966,7.7496,78.52%,0.9254
"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",-60.81213528,57.98118853,0.92799268,78.87592284,131.6407528,60.81213528,7.7982,7.6145,78.88%,0.928
"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 300}",-60.82274568,58.04176999,0.927917443,78.73303167,198.1606312,60.82274568,7.7989,7.6185,78.73%,0.9279
"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 400}",-60.83872297,58.14242327,0.927792441,78.94736842,267.111522,60.83872297,7.7999,7.6251,78.95%,0.9278
"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 500}",-60.84252503,58.25510414,0.927652502,78.99499881,337.399986,60.84252503,7.8002,7.6325,78.99%,0.9277
"{'criterion': 'friedman_mse', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 200}",-60.84783355,60.32621447,0.925080373,78.54251012,133.7814913,60.84783355,7.8005,7.767,78.54%,0.9251
"{'criterion': 'friedman_mse', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 500}",-60.87180704,58.25689001,0.927650284,78.92355323,332.5801108,60.87180704,7.802,7.6326,78.92%,0.9277
"{'criterion': 'friedman_mse', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 300}",-60.87342699,58.0878664,0.927860196,78.75684687,199.4880373,60.87342699,7.8021,7.6215,78.76%,0.9279
"{'criterion': 'friedman_mse', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",-60.88136939,58.02164877,0.927942432,78.82829245,132.8100801,60.88136939,7.8027,7.6172,78.83%,0.9279
"{'criterion': 'friedman_mse', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 400}",-60.8867096,58.16153575,0.927768705,78.94736842,265.661829,60.8867096,7.803,7.6264,78.95%,0.9278
