formula,Tc,type
Ba1.72Cu1.39O1.31Y2.04,93.0,original
Ba1.72Cu1.39O1.31Y2.04,93.0,original
Bi3.16Ca0.8Cu0.76Lu0.58O1.67Sr3.22,93.0,original
Ba1.72Cu1.39Dy10.45O1.31,93.0,original
Ba1.72Cu0.13O1.06Tl8.96,93.0,original
Ba1.72Cu0.13Hg7.24O0.5,93.0,original
Ba1.72Cu1.39O1.28Y2.04,93.0,original
Ba1.72Cu1.39O1.3Y2.04,93.0,original
Ba1.72Cs0.46Cu1.39O1.2Y1.92,93.0,original
Ba1.72Cu1.39Er7.65O1.26,93.0,original
Ba1.72Cu0.13O1.06Tl8.96,93.0,original
Ba1.72Cu1.39Lu3.29O1.31,93.0,original
Ba1.72Cu1.39O1.15Rb0.49Y1.8,93.0,original
Ba1.72Cu1.39O1.29Y2.04,93.0,original
Bi3.16Ca1.05Cu0.76O1.59Sr3.22,93.0,original
Bi3.16Ca1.05Cu0.76O1.59Sr3.22,93.0,original
Ba1.72Cu1.39O1.29Y2.04,93.0,original
Ba1.72Cu1.39O1.3Y2.04,93.0,original
Ba1.72Cu1.39O1.21Y1.8,93.0,original
Ba1.72Cu1.39O1.24Y2.04,93.0,original
Ba1.72Cu1.36O1.26Y2.04,93.0,original
Ba1.7Cu2.02O1.59Y1.86,93.0,original
Ba1.72Cu1.39O1.31Y2.04,93.0,original
Ba1.51Cu1.39O1.22Y2.52,93.0,original
Ba1.72Cu1.39Ho10.97O1.28,93.0,original
Ba1.72Cu1.39Dy10.45O1.28,93.0,original
Ba1.72Cu1.39O1.31Y2.04,93.0,original
Ba1.72Cu1.39O1.3Y2.04,93.0,original
Ba1.72Cu1.39O1.3Y2.04,93.0,original
Ba1.72Cu1.39O1.3Y2.04,93.0,original
Ba1.72Cu1.39O1.3Y2.04,93.0,original
Ba1.72Cu1.39Nd4.84O1.31,93.0,original
Ba1.72Cu1.39O1.29Y2.04,93.0,original
Ba1.72Cu1.39O1.29Y2.04,93.0,original
Ba1.72Cu1.39O1.3Y2.04,93.0,original
Ba1.72Cu1.39O1.31Y2.04,93.0,original
Bi3.16Ca1.05Cu0.76O1.67Sr3.22,93.0,original
Ba1.72Cu1.39O1.3Y2.04,93.0,original
Ba1.72Cu1.39Eu6.81O1.31,93.0,original
Ba1.72Cu1.39O1.31Y2.04,93.0,original
Ba1.72Cu1.39Ho10.97O1.31,93.0,original
Ba1.72Cu1.39Ho10.97O1.31,93.0,original
Ba1.72Cu1.39O1.28Y2.04,93.0,original
Ba1.72Cu1.39O1.31Y2.04,93.0,original
Ba1.72Cu1.39O1.31Y2.04,93.0,original
Ba1.72Cu1.39O1.31Tm7.72,93.0,original
Ba1.72Cu1.39O1.31Y2.04,93.0,original
