elements,formula,Predicted_Tc
Bi-Cu,Bi0.960Cu0.040,5.626536111
Ga-Sn-Cu,Ga0.824Sn0.162Cu0.014,5.623327607
Ga-Sn-Cu,Ga0.120Sn0.657Cu0.223,5.619896303
Sn-Sb-Cu,Sn0.688Sb0.113Cu0.199,5.618498889
Ga-Bi-Zn,Ga0.120Bi0.758Zn0.122,5.606191282
Bi-In-Zn,Bi0.608In0.333Zn0.059,5.594258611
Ga-Sn-Zn,Ga0.770Sn0.212Zn0.018,5.594097585
Bi-Sn-Sb,Bi0.786Sn0.081Sb0.133,5.590369167
Bi-Sb,Bi0.958Sb0.042,5.582798611
Bi-Sn-Sb,Bi0.650Sn0.222Sb0.128,5.57511
Sn-Zn-Cu,Sn0.609Zn0.088Cu0.303,5.571907222
Sn-Zn-Cu,Sn0.635Zn0.170Cu0.195,5.568618222
Ga-Bi-Cu,Ga0.129Bi0.826Cu0.045,5.567084338
Bi-In-Zn,Bi0.696In0.228Zn0.076,5.559816944
Bi-Sn-Zn,Bi0.675Sn0.295Zn0.030,5.555555
Bi-Zn,Bi0.887Zn0.113,5.553950278
Bi-In-Zn,Bi0.734In0.177Zn0.089,5.550599722
Ga-Ag-Sb,Ga0.876Ag0.032Sb0.092,5.546544786
Bi-Sn-Ag,Bi0.637Sn0.221Ag0.142,5.536837778
Bi-In-Ag,Bi0.663In0.292Ag0.045,5.533467222
Ga-Ag-Sb,Ga0.879Ag0.027Sb0.094,5.528695128
Ga-Zn-Cu,Ga0.787Zn0.211Cu0.002,5.524589308
Bi-Sn-Zn,Bi0.778Sn0.065Zn0.157,5.522022778
Bi-In-Zn,Bi0.761In0.138Zn0.101,5.520621667
Bi-Sn-Sb,Bi0.650Sn0.229Sb0.121,5.514062222
Bi-In-Ag,Bi0.603In0.352Ag0.045,5.511154167
Ga-In,Ga0.827In0.173,5.505553483
Ga-In,Ga0.832In0.168,5.503689786
Ga-In,Ga0.846In0.154,5.500181667
Ga-In,Ga0.860In0.140,5.499157991
Ga-In,Ga0.840In0.160,5.490250299
