elements,formula,Predicted_Tc
Ga-Bi-In,Ga0.030Bi0.843In0.127,6.125332073
Bi-In-Zn,Bi0.822In0.163Zn0.015,6.124593333
Ga-Bi-In,Ga0.218Bi0.739In0.043,6.123240897
Bi-In-Sb,Bi0.984In0.014Sb0.002,6.121733611
Ga-Bi-Zn,Ga0.215Bi0.776Zn0.009,6.116992073
Sn-Sb-Cu,Sn0.800Sb0.030Cu0.170,6.115360556
Bi-In-Zn,Bi0.877In0.116Zn0.007,6.113654722
Ga-Sn-Cu,Ga0.044Sn0.830Cu0.126,6.11347
Bi-Sb,Bi0.993Sb0.007,6.110233333
Bi-Sb,Bi0.993Sb0.007,6.110233333
Ga-Sn-Cu,Ga0.054Sn0.835Cu0.111,6.108478333
Bi-Sn-Sb,Bi0.769Sn0.171Sb0.060,6.10669
Bi-In-Sb,Bi0.877In0.122Sb0.001,6.105904722
Bi-Cu,Bi0.993Cu0.007,6.105419444
Bi-Sn-Sb,Bi0.909Sn0.074Sb0.017,6.104888333
Bi-Zn-Ag,Bi0.982Zn0.010Ag0.008,6.103885833
Bi-Sb,Bi0.992Sb0.008,6.102483333
Ga-Bi-Sb,Ga0.244Bi0.753Sb0.003,6.099030321
Ga-Bi-Cu,Ga0.251Bi0.747Cu0.002,6.098744274
Sn-Ag-Cu,Sn0.801Ag0.033Cu0.166,6.098186667
Sn-Ag-Cu,Sn0.821Ag0.063Cu0.116,6.091224444
Sn-Ag-Cu,Sn0.793Ag0.035Cu0.172,6.084950556
Ga-Bi-Zn,Ga0.184Bi0.813Zn0.003,6.082741538
Bi-In-Ag,Bi0.977In0.008Ag0.015,6.078866944
Sn-Ag-Cu,Sn0.876Ag0.036Cu0.088,6.076266373
Ga-Sn-Cu,Ga0.040Sn0.816Cu0.144,6.073267564
Sn-Ag-Cu,Sn0.806Ag0.056Cu0.138,6.068182778
Bi-In-Zn,Bi0.796In0.187Zn0.017,6.066411944
Ga-Bi-Zn,Ga0.223Bi0.766Zn0.011,6.065228184
