elements,calculated,Predicted_Tc,Elements
Cu-Np,yes,3.126356129934878,Cu0.019Np0.981
Ba-La,yes,5.267781929736928,Ba0.006La0.994
Ba-Bi,yes,6.18794702258253,Ba0.196Bi0.804
Ba-Ce,yes,5.915399661680922,Ba0.843Ce0.157
Ba-Fe,yes,7.237189999999987,Ba0.220Fe0.780
Ba-Li,yes,12.168879303104296,Ba0.007Li0.993
Ba-Hg,yes,4.127503096237098,Ba0.015Hg0.985
Ba-V,yes,6.183001071428577,Ba0.514V0.486
Ba-Cr,yes,4.009178571891073,Ba0.991Cr0.009
Ba-Re,yes,4.366881696803193,Ba0.213Re0.787
Ba-Nd,yes,4.008609127446628,Ba0.998Nd0.002
Ba-Gd,yes,3.997428175065676,Ba0.998Gd0.002
Ba-Yb,yes,4.012692460779961,Ba0.991Yb0.009
Ba-Sm,yes,4.008609127446628,Ba0.999Sm0.001
Ba-Eu,yes,4.008609127446628,Ba0.999Eu0.001
Ba-Dy,yes,4.008609127446628,Ba0.989Dy0.011
Ba-Ho,yes,4.017479497816998,Ba0.987Ho0.013
Ba-Be,yes,5.341903517778514,Ba0.599Be0.401
Ba-Er,yes,4.037290945628446,Ba0.983Er0.017
Ba-Al,yes,4.008609127446628,Ba0.993Al0.007
Ba-Co,yes,3.9960396830021834,Ba0.999Co0.001
Ba-Pr,yes,4.0204711644836655,Ba0.990Pr0.010
Ba-Cs,yes,4.188343213915717,Ba0.843Cs0.157
Ba-Rb,yes,8.395341390091376,Ba0.558Rb0.442
Ba-Cd,yes,3.968495516335517,Ba0.995Cd0.005
Ba-Ga,yes,5.548036637902428,Ba0.045Ga0.955
Ba-K,yes,18.128892075517065,Ba0.606K0.394
Ba-Na,yes,17.497071742794247,Ba0.934Na0.066
Ba-Ni,yes,4.008609127446628,Ba0.998Ni0.002
Ba-Tm,yes,4.014859127446628,Ba0.980Tm0.020
Ba-Lu,yes,4.6032096560846565,Ba0.252Lu0.748
Ba-Zr,yes,4.4861055555555485,Ba0.249Zr0.751
Ba-Sc,yes,9.081249909812405,Ba0.007Sc0.993
Ba-Tb,yes,4.008609127446628,Ba0.999Tb0.001
Ba-Mn,yes,3.419739988529988,Ba0.999Mn0.001
Ba-W,yes,3.950090780885782,Ba0.999W0.001
Ba-Ag,yes,4.187714164076669,Ba0.723Ag0.277
Ba-Sn,yes,4.658111888888889,Ba0.474Sn0.526
Ba-In,yes,4.008609127446628,Ba0.999In0.001
Ba-Ge,yes,5.283793843193846,Ba0.001Ge0.999
Ba-Zn,yes,4.008609127446628,Ba0.999Zn0.001
Ba-Ru,yes,3.604621315073817,Ba0.984Ru0.016
Ba-Hf,yes,4.480117306304804,Ba0.919Hf0.081
Ba-Nb,yes,9.166853922535712,Ba0.003Nb0.997
Ba-Pt,yes,4.008609127446628,Ba0.999Pt0.001
Ba-Pd,yes,4.244823530636034,Ba0.831Pd0.169
Ba-Ta,yes,4.769393914280163,Ba0.534Ta0.466
Ba-Mo,yes,4.06345856647057,Ba0.840Mo0.160
Ba-Tc,yes,9.975257990620486,Ba0.063Tc0.937
Ba-Rh,yes,3.9993064208939186,Ba0.719Rh0.281
Ba-Os,yes,3.4450871291671312,Ba0.999Os0.001
Ba-Ti,yes,4.240142607485108,Ba0.723Ti0.277
Ba-Ir,yes,4.008609127446628,Ba0.994Ir0.006
Ba-Sb,yes,4.640740675620682,Ba0.764Sb0.236
Ba-Au,yes,4.008609127446628,Ba0.995Au0.005
Ba-Th,yes,4.520771552244055,Ba0.871Th0.129
Ba-Pu,yes,11.861012238224724,Ba0.012Pu0.988
Ba-Mg,yes,4.008609127446628,Ba0.989Mg0.011
Ba-U,yes,4.008609127446628,Ba1.000
Ba-Np,yes,4.008609127446628,Ba0.991Np0.009
La-Bi,yes,6.181886512289452,La0.001Bi0.999
La-Ce,yes,6.447128888888907,La0.825Ce0.175
La-Fe,yes,7.20822333333332,La0.217Fe0.783
La-Li,yes,12.168879303104296,La0.001Li0.999
La-Hg,yes,5.267781929736928,La0.994Hg0.006
La-V,yes,6.178601071428577,La0.514V0.486
La-Cr,yes,5.267781929736928,La0.994Cr0.006
La-Re,yes,5.265824786879785,La0.995Re0.005
La-Nd,yes,5.265824786879785,La0.995Nd0.005
