elements,calculated,Predicted_Tc,Elements
Cu-Ir,yes,1.4085422222222241,Cu0.515Ir0.485
Cu-Sb,yes,3.1300983333333328,Cu0.182Sb0.818
Cu-Au,yes,1.604328333333335,Cu0.497Au0.503
Cu-Th,yes,1.9938196111111102,Cu0.459Th0.541
Cu-Pu,yes,12.558412227968127,Cu0.003Pu0.997
Cu-Mg,yes,4.761720833333328,Cu0.493Mg0.507
Cu-U,yes,1.5666686111111097,Cu0.463U0.537
Cu-Np,yes,3.943115247192898,Cu0.001Np0.999
Ba-La,yes,5.696258183760699,Ba0.884La0.116
Ba-Bi,yes,6.740779294871797,Ba0.576Bi0.424
Ba-Ce,yes,5.504937628205147,Ba0.819Ce0.181
Ba-Fe,yes,5.443938055555565,Ba0.601Fe0.399
Ba-Li,yes,11.80417361111107,Ba0.008Li0.992
Ba-Hg,yes,5.037119786324798,Ba0.560Hg0.440
Ba-V,yes,6.2412513888888865,Ba0.530V0.470
Ba-Cr,yes,4.319730555555568,Ba0.804Cr0.196
Ba-Re,yes,5.45930583333334,Ba0.530Re0.470
Ba-Nd,yes,7.297468098290604,Ba0.395Nd0.605
Ba-Gd,yes,6.039449700854711,Ba0.563Gd0.437
Ba-Yb,yes,4.448231452991468,Ba0.819Yb0.181
Ba-Sm,yes,5.587415747863261,Ba0.510Sm0.490
Ba-Eu,yes,4.905403333333348,Ba0.586Eu0.414
Ba-Dy,yes,5.256093525641042,Ba0.576Dy0.424
Ba-Ho,yes,5.086757136752153,Ba0.576Ho0.424
Ba-Be,yes,5.718826239316251,Ba0.530Be0.470
Ba-Er,yes,5.079114423076929,Ba0.530Er0.470
Ba-Al,yes,4.798876944444465,Ba0.980Al0.020
Ba-Co,yes,4.043750000000022,Ba1.000
Ba-Pr,yes,4.717607713675224,Ba0.803Pr0.197
Ba-Cs,yes,4.662631923076933,Ba0.576Cs0.424
Ba-Rb,yes,6.537001452991461,Ba0.600Rb0.400
Ba-Cd,yes,4.037900594405612,Ba0.963Cd0.037
Ba-Ga,yes,5.457270277777768,Ba0.089Ga0.911
Ba-K,yes,10.37690883838383,Ba0.607K0.393
Ba-Na,yes,5.521073034188048,Ba0.576Na0.424
Ba-Ni,yes,4.043750000000022,Ba1.000
Ba-Tm,yes,5.154042756410273,Ba0.576Tm0.424
Ba-Lu,yes,7.567700833333327,Ba0.175Lu0.825
Ba-Zr,yes,5.0109147222222274,Ba0.734Zr0.266
Ba-Sc,yes,8.024465277777775,Ba0.002Sc0.998
Ba-Tb,yes,4.805820598290611,Ba0.530Tb0.470
Ba-Mn,yes,4.5553996367521465,Ba0.576Mn0.424
Ba-W,yes,4.810912628205138,Ba0.586W0.414
Ba-Ag,yes,4.115862905982919,Ba0.803Ag0.197
Ba-Sn,yes,5.631184330065362,Ba0.576Sn0.424
Ba-In,yes,5.526596388888901,Ba0.576In0.424
Ba-Ge,yes,5.567681581196591,Ba0.576Ge0.424
Ba-Zn,yes,4.712192747863253,Ba0.580Zn0.420
Ba-Ru,yes,4.121499230769232,Ba0.530Ru0.470
Ba-Hf,yes,5.86098602564103,Ba0.576Hf0.424
Ba-Nb,yes,9.17581368421053,Ba0.001Nb0.999
Ba-Pt,yes,4.042650000000023,Ba0.999Pt0.001
Ba-Pd,yes,4.292182500000019,Ba0.953Pd0.047
Ba-Ta,yes,5.559467222222233,Ba0.530Ta0.470
Ba-Mo,yes,5.510288333333342,Ba0.608Mo0.392
Ba-Tc,yes,8.712734722222205,Ba0.142Tc0.858
Ba-Rh,yes,4.5176097222222245,Ba0.588Rh0.412
Ba-Os,yes,3.718290555555573,Ba0.998Os0.002
Ba-Ti,yes,5.766536175213683,Ba0.576Ti0.424
Ba-Ir,yes,4.018687222222244,Ba0.998Ir0.002
Ba-Sb,yes,4.867620000000009,Ba0.738Sb0.262
Ba-Au,yes,4.063456666666682,Ba0.964Au0.036
Ba-Th,yes,4.436266581196595,Ba0.803Th0.197
Ba-Pu,yes,12.655973339079239,Pu1.000
Ba-Mg,yes,5.571507286324786,Ba0.497Mg0.503
Ba-U,yes,4.073977628205137,Ba0.804U0.196
Ba-Np,yes,5.338656987179504,Ba0.530Np0.470
La-Bi,yes,6.211858333333311,La0.003Bi0.997
La-Ce,yes,8.096871666666665,La0.839Ce0.161
La-Fe,yes,5.902709166666668,La0.801Fe0.199
La-Li,yes,11.712594444444402,La0.012Li0.988
La-Hg,yes,5.339916111111113,La0.991Hg0.009
La-V,yes,5.893237222222223,La0.995V0.005
La-Cr,yes,5.349081111111109,La0.995Cr0.005
La-Re,yes,5.469563333333334,La0.991Re0.009
La-Nd,yes,5.240539999999997,La0.998Nd0.002
La-Gd,yes,3.3484505249706764,La0.003Gd0.997
La-Yb,yes,5.490769444444442,La0.990Yb0.010
La-Sm,yes,4.924282222222209,La0.997Sm0.003
La-Eu,yes,4.915071666666674,La0.998Eu0.002
La-Dy,yes,5.203642777777782,La0.999Dy0.001
La-Ho,yes,5.25620722222224,La0.994Ho0.006
La-Be,yes,5.358736111111113,La0.990Be0.010
La-Er,yes,5.542305555555549,La0.994Er0.006
La-Al,yes,5.3098294444444525,La0.999Al0.001
La-Co,yes,5.31606,La0.998Co0.002
La-Pr,yes,5.279668888888901,La0.993Pr0.007
La-Cs,yes,5.345156111111113,La0.991Cs0.009
La-Rb,yes,5.418124999999999,La0.993Rb0.007
La-Cd,yes,5.327388888888887,La0.995Cd0.005
La-Ga,yes,5.34342527777778,La0.990Ga0.010
