formula,Predicted_Tc
Ga0.553In0.052Sn0.395,3.874268644716391
Ga0.045In0.458Sn0.497,6.839645238095242
Ga0.549In0.253Sn0.198,4.137412552692679
Ga0.506In0.288Sn0.206,4.259451441581568
Ga0.682In0.096Sn0.222,3.6707719981962463
Ga0.497In0.097Sn0.406,4.171954536972287
Ga0.378In0.261Sn0.361,4.630392191734189
Ga0.377In0.393Sn0.230,5.31331964594665
Ga0.373In0.299Sn0.328,4.865723699670698
Ga0.540In0.438Sn0.022,3.198383621716244
Ga0.398In0.426Sn0.176,4.864771312613312
Ga0.165In0.434Sn0.401,6.366177713619718
Ga0.442In0.450Sn0.108,4.180369407851408
Ga0.400In0.122Sn0.478,4.747628620305624
Ga0.298In0.394Sn0.308,6.060630836422834
Ga0.404In0.446Sn0.150,4.667132185629185
Ga0.170In0.192Sn0.638,5.1003910469530505
Ga0.426In0.315Sn0.259,4.482681947533951
Ga0.272In0.164Sn0.564,4.9778113980834044
Ga0.546In0.365Sn0.089,3.9712875394651626
Ga0.438In0.290Sn0.272,4.470765280867285
Ga0.231In0.510Sn0.259,5.808413217375222
Ga0.636In0.178Sn0.186,3.948330546476672
Ga0.046In0.231Sn0.723,4.441801111111116
Ga0.548In0.087Sn0.365,3.9315007406759857
Ga0.295In0.435Sn0.270,5.5783563919783985
Ga0.248In0.258Sn0.494,5.360301636178639
Ga0.190In0.476Sn0.334,6.393873269175264
Ga0.425In0.298Sn0.277,4.566037503089504
Ga0.264In0.126Sn0.610,5.014238620305626
Ga0.162In0.369Sn0.469,6.461244551226556
Ga0.336In0.444Sn0.220,5.272087979279984
Ga0.263In0.338Sn0.399,5.587703858400855
Ga0.022In0.754Sn0.224,5.551970000000011
Ga0.478In0.213Sn0.309,4.3894006975339455
Ga0.364In0.576Sn0.060,4.002032622137123
Ga0.188In0.584Sn0.228,5.83008405672106
Ga0.187In0.617Sn0.196,5.493991596403597
Ga0.081In0.437Sn0.482,6.638499126984131
Ga0.333In0.334Sn0.333,5.392059255226252
Ga0.364In0.286Sn0.350,4.72247481078181
Ga0.176In0.346Sn0.478,6.004602158064162
Ga0.581In0.112Sn0.307,3.9379470116272577
Ga0.361In0.354Sn0.285,5.539088058645058
Ga0.126In0.401Sn0.473,6.577986217893221
Ga0.225In0.614Sn0.161,5.254012185629183
Ga0.466In0.196Sn0.338,4.38941767189292
Ga0.367In0.291Sn0.342,4.8679736996706975
Ga0.573In0.301Sn0.126,4.049071681600806
Ga0.317In0.496Sn0.187,5.3823570268990295
Ga0.521In0.038Sn0.441,4.334215092527844
Ga0.328In0.429Sn0.243,5.554268534835541
Ga0.304In0.303Sn0.393,5.075766080623078
Ga0.094In0.671Sn0.235,5.74939065623266
Ga0.626In0.257Sn0.117,3.8626691602332843
Ga0.764In0.226Sn0.010,3.9176722297609823
Ga0.087In0.348Sn0.565,5.901388015873022
Ga0.352In0.346Sn0.302,5.202668058645057
Ga0.382In0.288Sn0.330,4.847957033004032
Ga0.175In0.321Sn0.504,5.711411602508607
Ga0.034In0.356Sn0.610,6.497994682539685
Ga0.403In0.173Sn0.424,4.571280191734194
Ga0.018In0.826Sn0.156,4.9634366666666585
Ga0.395In0.138Sn0.467,4.578859731416735
Ga0.598In0.315Sn0.087,3.6313536657277905
Ga0.491In0.403Sn0.106,4.138933713406963
Ga0.864In0.041Sn0.095,4.156969746919745
Ga0.342In0.251Sn0.407,4.921728302845304
Ga0.195In0.398Sn0.407,6.334456602508608
Ga0.224In0.535Sn0.241,5.820308693565698
Ga0.326In0.368Sn0.306,5.993064169756167
Ga0.343In0.322Sn0.335,5.001469255226253
Ga0.503In0.399Sn0.098,3.9883430950207184
Ga0.295In0.481Sn0.224,5.496034804676808
Ga0.330In0.554Sn0.116,4.876921233248231
Ga0.380In0.042Sn0.578,4.720251953638956
Ga0.516In0.345Sn0.139,4.313763610893738
Ga0.095In0.692Sn0.213,5.508157322899327
Ga0.343In0.283Sn0.374,4.838983858400856
Ga0.384In0.303Sn0.313,4.8848602808672785
Ga0.127In0.325Sn0.548,5.627403995671002
Ga0.176In0.467Sn0.357,6.2740966025086
Ga0.353In0.443Sn0.204,4.999322423724428
Ga0.337In0.303Sn0.360,5.066311636178633
Ga0.123In0.315Sn0.562,5.588212329004335
Ga0.577In0.290Sn0.133,4.034780014934138
Ga0.011In0.774Sn0.215,5.520920000000012
Ga0.197In0.623Sn0.180,5.400802741184739
Ga0.044In0.555Sn0.401,6.698085952380955
Ga0.041In0.761Sn0.198,5.347183333333342
Ga0.623In0.361Sn0.016,3.124025944560069
Ga0.166In0.771Sn0.063,4.437206874181375
Ga0.459In0.393Sn0.148,4.616252046740297
Ga0.477In0.074Sn0.449,4.369676203638956
Ga0.501In0.328Sn0.171,4.412459774914901
Ga0.448In0.323Sn0.229,4.4799607570577615
Ga0.048In0.654Sn0.298,6.39430222222221
Ga0.372In0.286Sn0.342,4.725641477448476
Ga0.183In0.294Sn0.523,5.668882713619719
Ga0.125In0.042Sn0.833,4.078033535353534
Ga0.251In0.425Sn0.324,6.094051947533945
Ga0.340In0.659Sn0.001,3.611550717375217
Ga0.112In0.503Sn0.385,6.453813043290038
Ga0.538In0.117Sn0.345,4.024204470834717
Ga0.250In0.299Sn0.451,5.439543858400862
Ga0.363In0.382Sn0.255,5.326207503089508
Ga0.242In0.198Sn0.560,5.1269888584008605
Ga0.410In0.253Sn0.337,4.527545366337363
Ga0.293In0.291Sn0.416,5.192697191734195
Ga0.236In0.373Sn0.391,6.097286636178633
Ga0.402In0.439Sn0.159,4.693260757057757
Ga0.412In0.197Sn0.391,4.383395747289745
Ga0.112In0.261Sn0.627,5.239412329004335
Ga0.268In0.349Sn0.383,5.440961636178633
Ga0.026In0.362Sn0.612,6.432269682539685
Ga0.498In0.160Sn0.342,4.085034656019903
Ga0.253In0.425Sn0.322,6.094051947533945
Ga0.324In0.172Sn0.504,5.146758858400862
Ga0.213In0.480Sn0.307,6.322765439597434
Ga0.340In0.442Sn0.218,5.1770002015022065
Ga0.414In0.305Sn0.281,4.58355416975617
Ga0.243In0.409Sn0.348,6.084024255226254
Ga0.094In0.311Sn0.595,5.601912884559891
Ga0.210In0.250Sn0.540,5.152943858400861
Ga0.068In0.571Sn0.361,6.38821317460317
Ga0.022In0.325Sn0.653,5.567163888888897
Ga0.382In0.400Sn0.218,5.018712423724427
Ga0.001In0.806Sn0.193,5.427800000000007
Ga0.343In0.094Sn0.563,4.833733064750068
Ga0.321In0.242Sn0.437,4.965403302845305
Ga0.234In0.615Sn0.151,5.254012185629183
Ga0.770In0.038Sn0.192,4.199642491425241
